Quarry,Column1,"IDOT
Producer
Number","Address Where
Stockpile is Located","City of
Stockpile","Ledge Footage
Location",%Mg,CCE,% Pass #8,"% Pass
#30","% Pass
#60","1 Year
Correction
Factor","4 Year
Correction
Factor",> #8,#8 >lime< #30,#30> lime < #60,<#60,Total Finess Eff. Value,RNV,One Year App Rate,Rec (t/a) based_soil_test,Recommend Amount,Price (t/a),Cost
Alliance Materials Siers,,51952?86,28601 Pilgram Rd,Sterling,006,12.28,100.09,64.6,39.4,28.5,1.14,1.2,0.354,0.252,0.109,0.285,40.76,40.8,1.14,1,1.14,22,25.08
Anna Quarry Inc,,51812?02,PO Box 180,Anna,"0.0?17.8 m
Ledge 002010",1.37,90.53,74.1,39.5,22.1,1.31,1.26,0.259,0.346,0.174,0.221,39.015,35.32,1.19,1,1.19,22,26.18
Beverly Materials,,50072?16,4151 Irene Rd,Belvidere,"Ledge 8
(conglomerate)
of Ledge 3 & 4",12.35,101.59,85.9,48.6,34.8,0.91,0.98,0.141,0.373,0.138,0.348,49.865,50.66,0.93,1,0.93,22,20.46
Bloomington Crushed Stone,,52102?07,1100 North Road,Bloomington,Various,0.87,97.58,99.9,99.5,47.3,0.65,0.69,0.001,0.004,0.522,0.473,73.485,71.71,0.63,1,0.63,22,13.86
Bluff City Minerals ? Alton,,51192?02,4007 College Avenue,Alton,Ledge 1 & 2,2.72,88.33,66.3,34.8,23.5,1.41,1.41,0.337,0.315,0.113,0.235,37.135,32.8,1.25,1,1.25,22,27.5
"Bluff City?Alton?Hi?Cal
Pelleted Lime",,51192?04,4007 College Avenue,Alton,Ledge 1 & 2,2.53,90.35,99.9,98.6,90.9,0.54,0.75,0.001,0.013,0.077,0.909,95.015,85.85,0.49,1,0.49,22,10.78
Brush Creek Quarry,,51732?01,"2371 County Highway
6",Mode,Various,1.3,86.23,77.5,32.8,19.5,1.48,1.39,0.225,0.447,0.133,0.195,36.215,31.23,1.28,1,1.28,22,28.16
"Bussen Quarries Inc ? Antire
Quarry",,52302?65,"6800 Bussen Antire
Rd.",Eureka,"Ledges 11?27,
200'",1.28,97.56,100,99.9,99,0.48,0.69,0,0.001,0.009,0.99,99.47,97.04,0.47,1,0.47,22,10.34
"Bussen Quarries Inc ? Antire
Quarry",,52302?65,"6800 Bussen Antire
Rd.",Eureka,"Ledges 11?27,
200'",5.2,96.14,94.7,63.5,51,0.76,0.9,0.053,0.312,0.125,0.51,63.755,61.29,0.73,1,0.73,22,16.06
Bussen Quarry?Koch,,52302?07,5000 Bussen Rd.,St. Louis,"Ledges 5?21,
150'",2.7,86.24,92.5,48.3,29,1.12,1.13,0.075,0.442,0.193,0.29,47.865,41.28,0.97,1,0.97,22,21.34
"CalCar Quarries, Inc",,52102?10,860 East US Hwy 150,Paoli,Ledges 1?16,2.07,95.4,84.2,48.4,28.4,1.05,1.06,0.158,0.358,0.2,0.284,46.35,44.22,1,1,1,22,22
Calhoun Quarry East,,50832?32,25840 Eldred Road,Fieldon,Various,1.96,94.44,95.2,56.3,37.1,0.90,0.96,0.048,0.389,0.192,0.371,54.72,51.68,0.85,1,0.85,22,18.7
Casey Stone,,50232?06,"7600 north State
Highway 49",Casey,Full Face,1.56,32.75,60.1,30.6,21.7,4.16,4.13,0.399,0.295,0.089,0.217,34.045,11.15,1.36,1,1.36,22,29.92
Cave Quarries Inc,,77000?97,1156 North 425 W,Paoli,Ledges 4?10,1.57,93.86,94.6,49.8,29.5,1.01,1.02,0.054,0.448,0.203,0.295,48.88,45.88,0.95,1,0.95,22,20.9
Central Limestone,,50932?01,16805 Quarry Road,Morris,"Various
Locations",12.73,102.41,63.8,30,22.5,1.3,1.3,0.362,0.338,0.075,0.225,34.82,35.66,1.33,1,1.33,22,29.26
Central Stone,,51492?04,26176 487th Street,Pittsfield,Ledge 2,1.7,78.06,80.1,50.3,34.8,1.2,1.3,0.199,0.298,0.155,0.348,49.505,38.64,0.94,1,0.94,22,20.68
"Central Stone ? Argo/AgLime
CS #31",,52302?53,"14200 Lewis and Clark
Blvd.",Florrisant,Ledges 3?9,3.16,86.3,100,100,98.6,0.54,0.78,0,0,0.014,0.986,99.3,85.7,0.47,1,0.47,22,10.34
Central Stone ? Carthage,Central Stone_Carthage,50672?01,5 Miles East,Carthage,"Common
Stockpile",2.3,91.16,82,49.7,31.7,1.06,1.11,0.18,0.323,0.18,0.317,48.06,43.81,0.96,1,0.96,22,21.12
Central Stone ? Fessler,,51492?41,2 Miles West,Barry,"Common
Stockpile",1.11,90.94,97.8,70.8,48.9,0.78,0.89,0.022,0.27,0.219,0.489,65.36,59.44,0.71,1,0.71,22,15.62
Central Stone ? Huntington,,52302?04,NA,Huntington,"Common
Stockpile",0.76,91.21,99,71.2,41.4,0.82,0.88,0.01,0.278,0.298,0.414,61.91,56.47,0.75,1,0.75,22,16.5
Central Stone ? Kinderhook,,51492?05,1 Mile East,Kinderhook,"Common
Stockpile",1.28,91.7,98.3,65.5,43.3,0.83,0.91,0.017,0.328,0.222,0.433,61.045,55.98,0.76,1,0.76,22,16.72
Central Stone ? Loraine,,50012?04,2 Miles South,Loraine,"Common
Stockpile",2.53,70.64,83.3,53.1,39.2,1.24,1.38,0.167,0.302,0.139,0.392,53.025,37.46,0.87,1,0.87,22,19.14
Central Stone ? Millcreek,,50012?06,5 Miles East,Quincy,"Common
Stockpile",5.06,97.48,67,41.1,31.5,1.10,1.2,0.33,0.259,0.096,0.315,43.13,42.04,1.07,1,1.07,22,23.54
Central Stone ? Taylor,,52302?46,NA,South Taylor,"Common
Stockpile",1.67,86.48,98.8,72.5,48.2,0.82,0.92,0.012,0.263,0.243,0.482,65.67,56.79,0.71,1,0.71,22,15.62
"Central Stone?Tennessee CS
#53",,51092?03,5533 E. 400 Street,Colchester,L1 &L2,2.24,84.85,91.2,57.2,37.8,1,1.08,0.088,0.34,0.194,0.378,54.74,46.45,0.85,1,0.85,22,18.7
Charleston Stone Company,,50292?02,"9709 N. Co. Rd. 2000
E.",Ashmore,"Fine Lime?All
Ledges
combined",0.83,88.79,99.7,74.5,47.2,0.79,0.89,0.003,0.252,0.273,0.472,65.905,58.52,0.7,1,0.7,22,15.4
Charleston Stone Company,,50292?02,9709 N Co. Rd. 2000 E,Ashmore,"Course Lime?All
Ledges
Combined",0.95,83.5,88,49.2,33.4,1.12,1.18,0.12,0.388,0.158,0.334,49.66,41.47,0.93,1,0.93,22,20.46
Civil Materials ? Palmyra,,51032?73,217 Palmyra Rd,Dixon,006 UFR,12.5,103.39,100,100,98.8,0.45,0.65,0,0,0.012,0.988,99.4,102.77,0.47,1,0.47,22,10.34
Civil Materials ? Palmyra,,51032?73,217 Palmyra Rd,Dixon,Various,12.82,102.88,85.8,65.5,56.2,0.69,0.85,0.142,0.203,0.093,0.562,65.62,67.51,0.71,1,0.71,22,15.62
Columbia Quarry #7,,51332?04,5440 Quarry Rd.,Waterloo,24.4m ledge 1?3,1.17,95.85,90.2,46.2,27.2,1.05,1.04,0.098,0.44,0.19,0.272,45.99,44.08,1.01,1,1.01,22,22.22
Columbia Quarry #9,,51632?09,100 Industrial Dr,Dupo,9.9m ledge 1?5,5.74,94.55,88.1,45.9,28.6,1.06,1.07,0.119,0.422,0.173,0.286,46.285,43.76,1,1,1,22,22
